tkepr	kepr	tfit	fit	res
12.4249	5	-1.75824	589.653	-584.653
12.4542	19	-1.72894	586.091	-567.091
12.4835	33	-1.69963	582.56	-549.56
12.5128	47	-1.67033	579.061	-532.061
12.5421	60	-1.64103	575.592	-515.592
12.5714	74	-1.61172	572.153	-498.153
12.6007	88	-1.58242	568.744	-480.744
12.63	103	-1.55311	565.363	-462.363
12.6593	117	-1.52381	562.013	-445.013
12.6886	129	-1.49451	558.691	-429.691
12.718	141	-1.4652	555.397	-414.397
12.7472	156	-1.4359	552.131	-396.131
12.7766	169	-1.40659	548.892	-379.892
12.8059	183	-1.37729	545.682	-362.682
12.8352	195	-1.34799	542.498	-347.498
12.8645	208	-1.31868	539.34	-331.34
12.8938	221	-1.28938	536.208	-315.208
12.9231	232	-1.26007	533.102	-301.102
12.9524	242	-1.23077	530.023	-288.023
12.9817	251	-1.20147	526.968	-275.968
13.011	261	-1.17216	523.938	-262.938
13.0403	271	-1.14286	520.933	-249.933
13.0696	281	-1.11355	517.951	-236.951
13.0989	291	-1.08425	514.995	-223.995
13.1282	297	-1.05494	512.061	-215.061
13.1575	304	-1.02564	509.152	-205.152
13.1868	311	-0.99634	506.266	-195.266
13.2161	317	-0.96703	503.402	-186.402
13.2454	323	-0.93773	500.561	-177.561
13.2747	329	-0.90842	497.742	-168.742
13.304	335	-0.87912	494.946	-159.946
13.3333	340	-0.84982	492.172	-152.172
13.3626	344	-0.82051	489.418	-145.418
13.3919	349	-0.79121	486.687	-137.687
13.4213	353	-0.7619	483.976	-130.976
13.4506	357	-0.7326	481.287	-124.287
13.4799	361	-0.7033	478.618	-117.618
13.5092	366	-0.67399	475.969	-109.969
13.5385	372	-0.64469	473.341	-101.341
13.5678	377	-0.61538	470.732	-93.7316
13.5971	382	-0.58608	468.143	-86.143
13.6264	385	-0.55678	465.574	-80.5739
13.6557	386	-0.52747	463.023	-77.0231
13.685	389	-0.49817	460.492	-71.4923
13.7143	393	-0.46886	457.979	-64.9794
13.7436	396	-0.43956	455.486	-59.486
13.7729	400	-0.41026	453.011	-53.011
13.8022	404	-0.38095	450.553	-46.5534
13.8315	409	-0.35165	448.115	-39.1146
13.8608	414	-0.32234	445.693	-31.6927
13.8901	418	-0.29304	443.289	-25.2893
13.9194	422	-0.26374	440.903	-18.9034
13.9487	425	-0.23443	438.534	-13.5338
13.978	426	-0.20513	436.182	-10.1821
14.0073	427	-0.17582	433.846	-6.84647
14.0366	429	-0.14652	431.528	-2.52831
14.0659	429	-0.11722	429.227	-0.226652
14.0952	430	-0.08791	426.941	3.05946
14.1245	431	-0.05861	424.671	6.32865
14.1539	431	-0.0293	422.417	8.58261
14.1831	430	0	420.18	9.82
14.2125	427	0.0293	417.958	9.04174
14.2418	424	0.05861	415.751	8.24875
14.2711	420	0.08791	413.56	6.43968
14.3004	417	0.11722	411.384	5.61619
14.3297	415	0.14652	409.223	5.77695
14.359	415	0.17582	407.077	7.92286
14.3883	413	0.20513	404.945	8.0548
14.4176	412	0.23443	402.829	9.17146
14.4469	410	0.26374	400.726	9.27443
14.4762	408	0.29304	398.638	9.36244
14.5055	406	0.32234	396.564	9.43633
14.5348	402	0.35165	394.503	7.49697
14.5641	398	0.38095	392.457	5.54307
14.5934	395	0.41026	390.424	4.57617
14.6227	393	0.43956	388.405	4.59504
14.652	391	0.46886	386.4	4.60049
14.6813	390	0.49817	384.407	5.59333
14.7106	388	0.52747	382.428	5.57234
14.7399	386	0.55678	380.461	5.53901
14.7692	384	0.58608	378.508	5.49211
14.7985	382	0.61538	376.568	5.43244
14.8278	379	0.64469	374.639	4.36079
14.8571	375	0.67399	372.724	2.27596
14.8865	372	0.7033	370.821	1.17939
14.9157	368	0.7326	368.93	-0.930116
14.9451	363	0.7619	367.052	-4.05178
14.9744	359	0.79121	365.185	-6.18484
15.0037	355	0.82051	363.33	-8.33047
15.033	352	0.84982	361.487	-9.48728
15.0623	350	0.87912	359.656	-9.65643
15.0916	348	0.90843	357.837	-9.83654
15.1209	347	0.93773	356.029	-9.02875
15.1502	346	0.96703	354.232	-8.23233
15.1795	344	0.99634	352.447	-8.44657
15.2088	341	1.02564	350.673	-9.67257
15.2381	339	1.05495	348.909	-9.90903
15.2674	337	1.08425	347.157	-10.157
15.2967	336	1.11355	345.416	-9.41589
15.326	336	1.14286	343.685	-7.68491
15.3553	337	1.17216	341.965	-4.96517
15.3846	338	1.20147	340.255	-2.25539
15.4139	336	1.23077	338.557	-2.55665
15.4432	334	1.26007	336.868	-2.86828
15.4725	330	1.28938	335.19	-5.18959
15.5018	328	1.31868	333.522	-5.52165
15.5311	326	1.34799	331.863	-5.86322
15.5604	325	1.37729	330.215	-5.21535
15.5897	323	1.40659	328.577	-5.57737
15.6191	322	1.4359	326.949	-4.94865
15.6484	322	1.4652	325.33	-3.3302
15.6777	323	1.49451	323.721	-0.720839
15.707	321	1.52381	322.122	-1.12158
15.7363	319	1.55311	320.532	-1.53178
15.7656	317	1.58242	318.951	-1.95082
15.7949	313	1.61172	317.38	-4.3797
15.8242	311	1.64103	315.817	-4.81726
15.8535	309	1.67033	314.264	-5.26449
15.8828	307	1.69963	312.721	-5.72077
15.9121	303	1.72894	311.186	-8.18551
15.9414	298	1.75824	309.66	-11.6597
15.9707	294	1.78755	308.142	-14.1421
16	291	1.81685	306.634	-15.6339
16.0293	288	1.84615	305.134	-17.1342
16.0586	287	1.87546	303.643	-16.6427
16.0879	285	1.90476	302.16	-17.1602
16.1172	285	1.93407	300.686	-15.6857
16.1465	285	1.96337	299.22	-14.22
16.1758	285	1.99267	297.763	-12.7627
16.2051	284	2.02198	296.313	-12.313
16.2344	281	2.05128	294.872	-13.8721
16.2637	279	2.08059	293.439	-14.4387
16.293	277	2.10989	292.014	-15.0139
16.3223	277	2.13919	290.597	-13.597
16.3516	276	2.1685	289.188	-13.1875
16.3809	276	2.1978	287.786	-11.7864
16.4103	275	2.22711	286.392	-11.3925
16.4396	274	2.25641	285.007	-11.0068
16.4689	273	2.28571	283.629	-10.6287
16.4982	273	2.31502	282.258	-9.25779
16.5275	271	2.34432	280.895	-9.89481
16.5568	269	2.37363	279.539	-10.5388
16.5861	266	2.40293	278.191	-12.1907
16.6154	262	2.43223	276.85	-14.8499
16.6447	260	2.46154	275.516	-15.5159
16.674	258	2.49084	274.19	-16.1895
16.7033	257	2.52015	272.87	-15.8699
16.7326	255	2.54945	271.558	-16.5578
16.7619	254	2.57875	270.253	-16.2527
16.7912	253	2.60806	268.954	-15.9542
16.8205	253	2.63736	267.663	-14.6631
16.8498	253	2.66667	266.378	-13.3784
16.8791	252	2.69597	265.101	-13.1009
16.9084	251	2.72527	263.83	-12.8302
16.9377	251	2.75458	262.566	-11.5657
16.967	249	2.78388	261.308	-12.3084
16.9963	248	2.81319	260.057	-12.0572
17.0256	246	2.84249	258.813	-12.813
17.055	243	2.8718	257.575	-14.5749
